"Slug","Title","Image","Image:alt","Content"
"dəfnə-ekstraktı","Dəfnə ekstraktı","https://framerusercontent.com/images/D5Gof13L9hFjmttmO6Qib4Xs.jpg","","<p><br></p>"
"dəniz-suyu","Dəniz suyu","https://framerusercontent.com/images/9JZ0GQAlu3hRFpHWY4MTfY6vhKA.jpg","","<p><br></p>"
"dəniz-yosunu","Dəniz yosunu","https://framerusercontent.com/images/jZD0ypwvgym8jWQy0LwB5d4dnQ.jpg","","<p><br></p>"
"dəri","Dəri","https://framerusercontent.com/images/s5WTuMoZhzP9jzd7YiqhT5mAbZI.jpg","","<p><br></p>"
"fragonia","Fragonia","https://framerusercontent.com/images/ZaI8VMTRSERYmTvgom5OC8ou7UY.jpg","","<p><br></p>"
"fransa-qızılgülü","Fransa qızılgülü","https://framerusercontent.com/images/06m9A2OCfQdmPx25XUN8LLVbp0.jpg","","<p><br></p>"
"freziya","Freziya","https://framerusercontent.com/images/H6H5zQfb0Jpcb1ez0gApKRVw.jpg","","<p><br></p>"
"gicitkən","Gicitkən","https://framerusercontent.com/images/q9XclWAEb1r6hwToqj9ufoJUK4.jpg","","<p><br></p>"
"göyəm","Göyəm","https://framerusercontent.com/images/HN3KAMQsL6Pg82NaZM7Hbg86hE.jpg","","<p><br></p>"
"günəbaxan","Günəbaxan","https://framerusercontent.com/images/B2zf22GXqSgIjUmXE1Sz2O1jsg.jpg","","<p><br></p>"
"heyva","Heyva","https://framerusercontent.com/images/O3vK7YngTEvGKpiq4tHXCFedc8.jpg","","<p><br></p>"
"hil","Hil","https://framerusercontent.com/images/5O6WkNzBBN994MdD1IO5DPHalg.jpg","","<p><br></p>"
"hind-qozu","Hind qozu","https://framerusercontent.com/images/EAsPq8avdKZQrY7oyd58qW55AM.jpg","","<p><br></p>"
"hind-ədviyyatları","Hind ədviyyatları","https://framerusercontent.com/images/JD9srZq3z00Ru1QKlK9dflMncKk.jpg","","<p><br></p>"
"hortenziya","Hortenziya","https://framerusercontent.com/images/rT2bX2AFF0eO10hi169h1lDDGCA.jpg","","<p><br></p>"
"ilanq-ilanq","İlanq-İlanq","https://framerusercontent.com/images/HIdKwD1K04QFz9g1adf7LwvIg7U.jpg","","<p><br></p>"
"iso-e-super","Iso E Super","https://framerusercontent.com/images/QEWuBFmO0hq2EWsVjP5Ac1z4.jpg","","<p><br></p>"
"istiot","İstiot","https://framerusercontent.com/images/rhxPm0MSPsGXae2nVmnygScldnk.jpg","","<p><br></p>"
"itburnu","İtburnu","https://framerusercontent.com/images/kmpiDDNBS87F6WcDlXAg5GA48.jpg","","<p><br></p>"
"jasmin","Jasmin","https://framerusercontent.com/images/RnFdcudoek2laKiDuFxrIRA2jHc.jpg","","<p><br></p>"
"kakao-saplağı","Kakao saplağı","https://framerusercontent.com/images/tYF0KEkUCUE85IjQAxMJPpEBZE.jpg","","<p><br></p>"
"kaktus","Kaktus","https://framerusercontent.com/images/F7bYjytIwTzaaCzoCh04galzs.jpg","","<p><br></p>"
"kala-zantedeskiya","Kala (Zantedeskiya)","https://framerusercontent.com/images/dMdNuq01DX2NHKWIDdqJnoPJTmU.jpg","","<p><br></p>"
"kalon","Kalon","https://framerusercontent.com/images/fFlavlWRRcmTQH0zH8ga1DOihw.jpg","","<p><br></p>"
"kameliya","Kameliya","https://framerusercontent.com/images/FMiniRAQBXqjbycoRdAG6KG1NgM.jpg","","<p><br></p>"
"kapuçino","Kapuçino","https://framerusercontent.com/images/mP5RgNV8GUpQKy2gQYkzhh7R3Rc.jpg","","<p><br></p>"
"karamel","Karamel","https://framerusercontent.com/images/GYULRDD2gBAq7lPs6mzreHXwqGE.jpg","","<p><br></p>"
"keşniş","Keşniş","https://framerusercontent.com/images/zqXpIIbQWGELfcfH6svzGypYM.jpg","","<p><br></p>"
"kivi","Kivi","https://framerusercontent.com/images/bcdnEl8o1DfXTOoHBuxYjrIg7E.jpg","","<p><br></p>"
"kivi-çiçəyi","Kivi çiçəyi","https://framerusercontent.com/images/YTEzxEhUp6FfCRqqzWCkOGYf9s.jpg","","<p><br></p>"
"kokos","Kokos","https://framerusercontent.com/images/VaINiwgHnGegm1eomn2mfRvZ8uI.jpg","","<p><br></p>"
"kül","Kül","https://framerusercontent.com/images/Cm0u5kHRZhehk3k5tOFLX07bccc.jpg","","<p><br></p>"
"kumarin","Kumarin","https://framerusercontent.com/images/tig0SiJVe4EnER164xDHoxbBDhg.jpg","","<p><br></p>"
"kəhrəba","Kəhrəba","https://framerusercontent.com/images/KNqJ4vOOcDtU7nTjNSG3CtLsc.jpeg","","<p><br></p>"
"kəklikotu","Kəklikotu","https://framerusercontent.com/images/rsfthrLzbH1WKcV16IvOF5qHcQ4.jpg","","<p><br></p>"
"kətan","Kətan","https://framerusercontent.com/images/py3bhnfL1oUeLvfg6X1uS1npE.jpg","","<p><br></p>"
"labdanum","Labdanum","https://framerusercontent.com/images/90bvNsGzcZPSWnUZINYAk0cvbxc.jpg","","<p><br></p>"
"lalə-xaşxaş","Lalə (Xaşxaş)","https://framerusercontent.com/images/jemQ8jq6VOdizuaSEvk1L1RgHDQ.jpg","","<p><br></p>"
"lavanda","Lavanda","https://framerusercontent.com/images/Kx52LnQR9RsdSU2ueY4buGCb4.jpg","","<p><br></p>"
"laym","Laym","https://framerusercontent.com/images/JpYBjFznEC5WTB7LHbK05hMGcdY.jpg","","<p><br></p>"
"liçi","Liçi","https://framerusercontent.com/images/OK31dPqcAotDbICMXQPQ3LmePE.jpg","","<p><br></p>"
"limon","Limon","https://framerusercontent.com/images/SZb8nbAZ6qr0Klcks92FmDoM.jpg","","<p><br></p>"
"limon-ağacı","Limon ağacı","https://framerusercontent.com/images/IYrj73Rweyi4Xd04q6XzeZ2aTRA.jpg","","<p><br></p>"
"limon-çiçəyi","Limon çiçəyi","https://framerusercontent.com/images/oiMLvGNW51KrG0YQ4nsFXQXSEuo.jpg","","<p><br></p>"
"manqo","Manqo","https://framerusercontent.com/images/bsVq0KJMzmFWGi6mp0i7x4mKw8.jpg","","<p><br></p>"
"manqo-çiçəyi","Manqo çiçəyi","https://framerusercontent.com/images/yGIwBhIQmdeCPCgEyzmppfFFs.jpg","","<p><br></p>"
"maqnoliya","Maqnoliya","https://framerusercontent.com/images/VPc0f1RSpCCwfjGWfP5CtAtbfc.jpg","","<p><br></p>"
"marmelad","Marmelad","https://framerusercontent.com/images/95ixwAOsgvMlrq72WZXKpABLWk.jpg","","<p><br></p>"
"martini","Martini","https://framerusercontent.com/images/QRsxT07XC028Z0nFoSGwGnzUi4.jpg","","<p><br></p>"
"metal-notları","Metal notları","https://framerusercontent.com/images/b0zrmrHon5YG95v85iuBWKmd4w.jpg","","<p><br></p>"
"meyvə-notları","Meyvə notları","https://framerusercontent.com/images/DUkvkukPOKdb45v2BOhwWMRo.jpg","","<p><br></p>"
"mimoza","Mimoza","https://framerusercontent.com/images/kpTETz3p9uLIAD1Vf2RbMBv2a64.jpg","","<p><br></p>"
"minaçiçəyi-verbena","Minaçiçəyi (Verbena)","https://framerusercontent.com/images/psLeTpA26kCctA9GEszYsvCxU.jpg","","<p><br></p>"
"mixək","Mixək","https://framerusercontent.com/images/nbpJ6G1AgplDx8uayAAR3qrxREY.jpg","","<p><br></p>"
"moruq","Moruq","https://framerusercontent.com/images/TZ43fvYrSK7praHOM1K5mmpMVoM.jpg","","<p><br></p>"
"moruq-çiçəyi","Moruq çiçəyi","https://framerusercontent.com/images/tLR9cu4i9lawMpWr1nasPKDYBgs.jpg","","<p><br></p>"
"müşk","Müşk","https://framerusercontent.com/images/3pJkDVJW28IMbvIDolzpLtktvs.jpg","","<p><br></p>"
"müşk-sürvəsi-adaçayı","Müşk sürvəsi (Adaçayı)","https://framerusercontent.com/images/yB48UoO031DK8LRAE8LsB4CPIs.jpg","","<p><br></p>"
"nanə","Nanə","https://framerusercontent.com/images/i6iokywxJZGgxAYrm82UyiXBSY.jpg","","<p><br></p>"
"nar","Nar","https://framerusercontent.com/images/5svvYxIN43Pdb841nXeRGG99YA.jpg","","<p><br></p>"
"nar-çiçəyi","Nar çiçəyi","https://framerusercontent.com/images/ih41J6wTuxcWvnw3nDOBhdQ1UQ.jpg","","<p><br></p>"
"naringi-mandarin","Naringi (Mandarin)","https://framerusercontent.com/images/hQVTq0f95Ob3PG6CK7S8M8elUZ4.jpg","","<p><br></p>"
"naringi-mandarin-çiçəyi","Naringi (Mandarin) çiçəyi","https://framerusercontent.com/images/kh09dEfmYQCbi6raMqLSXyhn9k.jpg","","<p><br></p>"
"nektarin","Nektarin","https://framerusercontent.com/images/dwXCuYXHSQRxeUmMSq5YBA3ts.jpg","","<p><br></p>"
"neroli","Neroli","https://framerusercontent.com/images/ApNjiRbAwwktxC7XBVN1n6ugU.jpg","","<p><br></p>"
"nərgiz","Nərgiz","https://framerusercontent.com/images/ajgIy7qNhJnuszd5nmRyUjF4Cs.jpg","","<p><br></p>"
"massoia","Massoia","https://framerusercontent.com/images/jYzynLhbJIuHrMnnS5cBBRiRU0w.jpg","","<p><br></p>"
"oreqano-qaraqınıq","Oreqano (Qaraqınıq)","https://framerusercontent.com/images/qICmTmU4IfOFrTyAvO13ul95fck.jpg","","<p><br></p>"
"orxideya","Orxideya","https://framerusercontent.com/images/ZywM3IM2eqrY7tiIEvGOzVi7aBc.jpg","","<p><br></p>"
"osmantus","Osmantus","https://framerusercontent.com/images/MMeBVvRQZV9IyBfq5pPBuwHOTg4.jpg","","<p><br></p>"
"ot","Ot","https://framerusercontent.com/images/7Vb8T40CtPl3AVbQIzakhyJqIHA.jpg","","<p><br></p>"
"ozon-notları","Ozon notları","https://framerusercontent.com/images/3NqWHbzUvXJFTUnaT8021Gu16Kw.jpg","","<p><br></p>"
"paçuli","Paçuli","https://framerusercontent.com/images/0atQapUt8wFK3xNr81PUFlAQDE.jpg","","<p><br></p>"
"palıd","Palıd","https://framerusercontent.com/images/QamLD5ODv8scQ4QEhr4wzoKLuM.jpg","","<p><br></p>"
"palıd-mamırı","Palıd mamırı","https://framerusercontent.com/images/OCje9WFFzg2xe1rkHKmO1ghtGTE.jpg","","<p><br></p>"
"papaya","Papaya","https://framerusercontent.com/images/SPHEjFxTFrlNZyAnkXSRY0UrZuo.jpg","","<p><br></p>"
"papirus","Papirus","https://framerusercontent.com/images/KixPwMbU9wyvWV4ABIh0IrxsEc.jpg","","<p><br></p>"
"pion","Pion","https://framerusercontent.com/images/S3JwclcBgyqIFZt25BuX5uKYoDc.jpg","","<p><br></p>"
"portağal","Portağal","https://framerusercontent.com/images/MKsvuNayNk4MNPraWwjF7jLVM3k.jpg","","<p><br></p>"
"portağal-çiçəyi","Portağal çiçəyi","https://framerusercontent.com/images/ZsSW5vIPbzAZvlbXcKa2kzPk.jpg","","<p><br></p>"
